277422688:[51.5667809, 7.4121916]
277493166:[51.5656972, 7.4441805]
277493176:[51.5651443, 7.4439974]
277493371:[51.5579418, 7.4453716]
277493372:[51.5578998, 7.4474769]
277493373:[51.5579318, 7.4488962]
277493374:[51.5571141, 7.4489537]
277493375:[51.5570727, 7.4483524]
277493376:[51.5562702, 7.448541]
277493378:[51.5560787, 7.4454647]
277494304:[51.5594126, 7.4546526]
277494305:[51.5584125, 7.4547604]
277494306:[51.5584547, 7.4557729]
277494307:[51.5594548, 7.4556651]
277494321:[51.5590311, 7.4560772]
277494763:[51.5602553, 7.4646613]
277494764:[51.5649352, 7.4637173]
277494765:[51.5687363, 7.464929]
277494766:[51.5698135, 7.4516543]
277494767:[51.5577642, 7.4561295]
277494769:[51.5579338, 7.4627586]
277494770:[51.5581501, 7.4634529]
277512966:[51.5589118, 7.4495279]
277512967:[51.5590718, 7.4513726]
277513101:[51.559368, 7.4537968]
277785127:[51.5476171, 7.3975269]
277785128:[51.5485735, 7.3986254]
277785130:[51.5502565, 7.4002822]
277785131:[51.5533804, 7.4031108]
277785132:[51.5536554, 7.4034586]
277785133:[51.5537929, 7.4039463]
277785134:[51.5538485, 7.4041289]
277785135:[51.5539559, 7.4042674]
277785136:[51.5540604, 7.4044179]
277785137:[51.5543581, 7.4052924]
277785142:[51.5554719, 7.4073]
277785144:[51.5554967, 7.4081718]
277785145:[51.5554299, 7.4084703]
277785152:[51.5559615, 7.411887]
277785153:[51.556252, 7.4124215]
277785155:[51.5580732, 7.4153427]
278211883:[51.5630238, 7.4144144]
278211885:[51.5628475, 7.4144513]
278211886:[51.5625803, 7.4148651]
278211887:[51.5625284, 7.41517]
278212261:[51.5626488, 7.4153404]
278283907:[51.5609703, 7.4582768]
278283912:[51.56107, 7.4580483]
278283914:[51.5611383, 7.4578867]
278283915:[51.5612083, 7.4577367]
278283917:[51.5612833, 7.4576333]
278283919:[51.5613634, 7.45749]
278283921:[51.5614133, 7.457345]
278283924:[51.5614517, 7.4571683]
278283926:[51.5615133, 7.4570233]
278283928:[51.5615833, 7.4569683]
278283930:[51.561735, 7.4567567]
278283932:[51.5618174, 7.4564169]
278283934:[51.5618067, 7.4562617]
278283936:[51.5618883, 7.456095]
278283938:[51.56193, 7.45603]
278283940:[51.5620209, 7.455819]
278283942:[51.5620916, 7.4556467]
278283943:[51.5621283, 7.4555317]
278283946:[51.5621713, 7.4554194]
278283953:[51.5622133, 7.4553567]
278283955:[51.5623923, 7.4553536]
281878323:[51.5652917, 7.4600121]
281878326:[51.5650483, 7.4596649]
281878327:[51.5649766, 7.4593877]
281878329:[51.5649467, 7.4588233]
281878332:[51.5649962, 7.4584836]
281878333:[51.5649817, 7.4583983]
281878336:[51.56481, 7.45814]
281878345:[51.5637083, 7.458045]
281878346:[51.5635033, 7.458065]
281878347:[51.5633276, 7.4580565]
281878348:[51.5630968, 7.4590803]
282032043:[51.5656736, 7.4471361]
282032247:[51.5657056, 7.4474021]
282033276:[51.5645614, 7.4431403]
282033277:[51.5646352, 7.4425488]
282033278:[51.5647175, 7.4419425]
282033279:[51.5648173, 7.4415145]
